clean_name,name,clalit,maccabi,meuhedet,leumit
אבישי גרופר,אבישי גרופר,0,0,0,0
אבישי וינברגר,"ד""ר אבישי וינברגר",0,0,0,0
אבישי שטל-אלטמן,"ד""ר אבישי שטל-אלטמן",0,0,0,0
אבנר בלקין,אבנר בלקין,0,0,0,0
אבנר בר דיין,"ד""ר אבנר בר דיין",0,1,0,0
אבנר הוסטובסקי,"ד""ר אבנר הוסטובסקי",1,1,0,1
אבנר חורי,"ד""ר אבנר חורי",0,0,0,0
אבנר צייגר,אבנר צייגר,1,0,0,0
אבנר קרב,אבנר קרב,1,0,0,0
אבראהים אבדאח,אבראהים אבדאח,1,1,0,0
אבראהים מארון,אבראהים מארון,1,0,0,0
אברהים מגאמסה,אברהים מגאמסה,0,1,1,0
אברהם אברג'ל,"ד""ר אברהם אברג'ל",0,0,0,0
אברהם אדלר,אברהם אדלר,1,1,0,0
אברהם אלטרגוט,"ד""ר אברהם אלטרגוט",1,1,1,1
אברהם אמיר,"ד""ר אברהם אמיר",0,0,0,0
אברהם ברקוביץ,אברהם ברקוביץ,0,0,0,1
אברהם גולדפרב,אברהם גולדפרב,0,1,0,0
אברהם הירש,אברהם הירש,0,1,1,0
אברהם וילדר,אברהם וילדר,1,0,0,0
אברהם זילברמן,אברהם זילברמן,0,1,0,0
אברהם חפץ,אברהם חפץ,0,0,0,1
אברהם לוי,"ד""ר אברהם לוי",0,0,0,0
אברהם ליבנה,אברהם ליבנה,1,0,0,0
אברהם ליקורמן,אברהם ליקורמן,0,1,1,0
אברהם מזרחי,אברהם מזרחי,0,1,0,0
אברהם מסרי,אברהם מסרי,1,1,1,0
אברהם משיח,אברהם משיח,0,0,0,1
אברהם סלם,אברהם סלם,1,0,0,0
אברהם פינקלמן,"ד""ר אברהם פינקלמן",0,0,0,0
אברהם פנחס,אברהם פנחס,0,1,0,0
אברהם פנסקי,אברהם פנסקי,1,0,0,0
אברהם פרדס,אברהם פרדס,0,0,1,0
אברהם פרנקל,אברהם פרנקל,1,1,1,0
אברהם צציאשוילי,אברהם צציאשוילי,0,0,0,0
אברהם צצשוילי,"ד""ר אברהם צצשוילי",1,0,0,1
אברהם שזר,אברהם שזר,1,0,0,0
אברהם שטיינברג,אברהם שטיינברג,0,0,1,0
אברהם שטריקר,אברהם שטריקר,1,1,1,0
אברי רווה,"ד""ר אברי רווה",0,0,0,0
אבשלום כרמל,אבשלום כרמל,0,1,0,0
אדגר שוכר,אדגר שוכר,0,1,0,0
אדוארד ז'ולקובסקי,אדוארד ז'ולקובסקי,1,0,0,0
אדוארד קוריטני,אדוארד קוריטני,1,1,0,1
אדוארדו לרנר,אדוארדו לרנר,0,0,1,1
אדוארדו שכטר,"ד""ר אדוארדו שכטר",0,1,0,0
אדווה מנסורה,"ד""ר אדווה מנסורה",1,0,1,0
אדים ראבי,אדים ראבי,0,0,0,0
אדם אבו עביד,"ד""ר אדם אבו עביד",0,1,0,0
אדם ארנרייך,"ד""ר אדם ארנרייך",0,1,0,0
אדם דלאל,"ד""ר אדם דלאל",0,0,0,0
אדם הורוביץ,אדם הורוביץ,0,0,0,0
אדם הלרוביץ,אדם הלרוביץ,0,0,0,0
אדם לאוב,"ד""ר אדם לאוב",0,0,0,0
אדם פינחסוב,"ד""ר אדם פינחסוב",0,0,0,0
אדם פרקש,"ד""ר אדם פרקש",0,0,0,0
אדמית בן חיים קדוש,"ד""ר אדמית בן חיים קדוש",0,0,0,0
אדנטיקה סמייל - adentica smile,אדנטיקה סמייל - Adentica Smile,0,0,0,0
אדריאן טודור,"ד""ר אדריאן טודור",0,0,0,0
אדריאנה דל גיגליו,"ד""ר אדריאנה דל גיגליו",0,0,0,0
אהוד (אודי) רייך,"ד""ר אהוד (אודי) רייך",0,0,0,0
אהוד ברג,"ד""ר אהוד ברג",0,0,0,0
אהוד גנסין,"ד""ר אהוד גנסין",0,0,0,0
אהוד גרינשטין,"ד""ר אהוד גרינשטין",0,1,0,0
אהוד דרוקר,"ד""ר אהוד דרוקר",0,0,0,0
אהוד זיגמונד,"ד""ר אהוד זיגמונד",0,0,0,0
אהוד מילר,"ד""ר אהוד מילר",0,1,0,1
אהוד משל,אהוד משל,1,1,0,0
אהוד קדמון,אהוד קדמון,0,1,0,0
אהוד רוזיצקי,"ד""ר אהוד רוזיצקי",0,0,0,0
אהוד רז,"ד""ר אהוד רז",0,0,1,0
אהוד רייך,אהוד רייך,1,1,0,0
אהוד רכטמן,אהוד רכטמן,0,0,0,0
אהרון בני nd r.na,"ד""ר אהרון בני ND R.Na",0,0,0,1
אהרון ויצמן,אהרון ויצמן,0,0,1,1
אהרון טבדי,אהרון טבדי,1,0,0,0
אהרון יוסף חסידים,אהרון יוסף חסידים,1,0,0,0
אהרון ליברזון,"ד""ר אהרון ליברזון",1,1,0,0
אהרון מדינה,"ד""ר אהרון מדינה",1,1,0,0
אהרון עמיר,"ד""ר אהרון עמיר",0,0,0,0
אהרון פיינסטון,אהרון פיינסטון,0,1,1,0
אהרון פרידנזון,אהרון פרידנזון,1,0,0,0
אהרון צ'צ'יק,אהרון צ'צ'יק,0,0,0,0
אהרן בראון,אהרן בראון,1,0,0,0
אהרן פופובצר,אהרן פופובצר,0,0,1,0
אוֹרָן צומן,"ד""ר אוֹרָן צומן",0,0,0,0
אואנה מאייר," ד""ר אואנה מאייר",0,0,0,0
אוגן כהן,אוגן כהן,0,0,1,0
אודט שניצר,אודט שניצר,0,1,0,0
אודי ארגז,"ד""ר אודי ארגז",1,1,0,0
אודי ארד,"ד""ר אודי ארד",0,0,0,0
אודי גרימברג,"ד""ר אודי גרימברג",0,0,0,0
אודי חורין,"ד""ר אודי חורין",0,0,0,0
אודי לבל,אודי לבל,0,0,0,1
אודי מאור,"ד""ר אודי מאור",1,1,0,0
אודי צינמון,אודי צינמון,1,1,0,0
אוה אבו יונס,אוה אבו יונס,1,0,0,0
אוה אטינג,אוה אטינג,0,1,0,1
אוה בורשאי,אוה בורשאי,0,0,0,1
אוה ברנדס,אוה ברנדס,0,0,1,0
אוה וינשטוק יוריקה,אוה וינשטוק יוריקה,1,0,0,0
אוהד בן נון,"ד""ר אוהד בן נון",0,1,0,0
אוהד בן צבי,"ד""ר אוהד בן צבי",0,0,0,1
אוהד ברוכין,"ד""ר אוהד ברוכין",0,0,0,0
אוהד כץ,"ד""ר אוהד כץ",0,0,0,0
אוהד עזרא,אוהד עזרא,0,0,0,0
אוהד שושני,"ד""ר אוהד שושני",0,0,0,0
אוהד שחר,"ד""ר אוהד שחר",0,0,0,0
אוהד תומר," ד""ר אוהד תומר",0,0,0,0
אווה דדוש,"ד""ר אווה דדוש",1,1,0,0
אווה פרקש,אווה פרקש,1,0,0,0
אוזיאס מרקוביץ,אוזיאס מרקוביץ,1,0,0,0
אולג דוחנו,"ד""ר אולג דוחנו",0,0,0,0
אולג לוי,"ד""ר אולג לוי",0,1,0,0
אולג קרליק,אולג קרליק,1,0,1,1
אולגה איילה פורר,"ד""ר אולגה איילה פורר",0,0,0,0
אולגה בסאילוב,"ד""ר אולגה בסאילוב",0,0,0,0
אולגה ברקאי,"ד""ר אולגה ברקאי",0,0,0,0
אולגה גרוזמן,אולגה גרוזמן,0,0,0,1
אולגה דודרב,אולגה דודרב,0,0,0,0
אולגה טימופייב,אולגה טימופייב,0,0,0,1
אולגה ניקולאיבסקי,"ד""ר אולגה ניקולאיבסקי",0,0,0,0
אולגה פקר,אולגה פקר,0,0,0,0
אולגה צ'רניאק,"ד""ר אולגה צ'רניאק",0,0,0,0
אולגה קולדנוב,אולגה קולדנוב,0,1,0,0
אולגה קיפניס,אולגה קיפניס,0,0,0,1
אולגה קפוש,אולגה קפוש,0,1,1,0
אולגה רדאי,אולגה רדאי,1,0,0,0
אולה גוטצייט,"ד""ר אולה גוטצייט",0,0,0,0
אולחוב ז'אנה,"ד""ר אולחוב ז'אנה",0,1,0,0
אוליבר קרייגר,"ד""ר אוליבר קרייגר",0,0,0,0
אוליסיה ראוכורגר,"ד""ר אוליסיה ראוכורגר",0,0,0,0
אולסיה פרולוב,"ד""ר אולסיה פרולוב",0,0,0,0
אוסאמה געברי,אוסאמה געברי,1,0,0,0
אוסאמה ג׳רוס,"ד""ר אוסאמה ג׳רוס",0,0,0,0
אוסאמה כמאל,"ד""ר אוסאמה כמאל",0,0,0,0
אוסמא ג'עברי,אוסמא ג'עברי,0,0,0,1
אוסנת אלישיב,"ד""ר אוסנת אלישיב",0,1,0,0
אופטיקה אופטימקס,אופטיקה אופטימקס,1,1,0,1
אופטיקה מיכל,אופטיקה מיכל,0,0,0,0
אופיר אורי,"ד""ר אופיר אורי",0,0,0,0
אופיר אילן,אופיר אילן,0,0,1,1
אופיר אלאלוף,"ד""ר אופיר אלאלוף",0,0,0,0
אופיר בן-גל,"ד""ר אופיר בן-גל",0,1,0,0
אופיר בן-ישי,"ד""ר אופיר בן-ישי",0,1,0,0
אופיר וסיאל פרומוביץ׳,"ד""ר אופיר וסיאל פרומוביץ׳",0,0,0,0
אופיר לוי,"ד""ר אופיר לוי",0,0,0,0
אופיר ליבנה,"ד""ר אופיר ליבנה",0,0,0,0
אופיר מורג,"ד""ר אופיר מורג",0,0,0,0
אופיר פז,"ד""ר אופיר פז",1,1,0,0
אופיר שיר-עז,"ד""ר אופיר שיר-עז",0,0,0,0
אופירה קודנר,אופירה קודנר,1,0,0,0
אופירם אלישע,"ד""ר אופירם אלישע",0,1,1,1
אוקסנה גרשנוב,"ד""ר אוקסנה גרשנוב",0,0,0,0
אוקסנה נייזוב,"ד""ר אוקסנה נייזוב",0,0,0,0
אוקסנה פינקל,"ד""ר אוקסנה פינקל",0,0,0,0
אור דלח,אור דלח,0,0,0,0
אור יריב,"ד""ר אור יריב",1,0,0,1
אור כרמי,"ד""ר אור כרמי",0,0,0,0
אור להב מיה,"ד""ר אור להב מיה",0,0,0,0
אור עמית,"ד""ר אור עמית",0,0,0,0
אור תומר,"ד""ר אור תומר",1,1,1,1
אור-טל סגל,אור-טל סגל,0,1,0,0
אוראל עסיס יוסף,אוראל עסיס יוסף,0,0,0,0
אורגד רוזנבלט,"ד""ר אורגד רוזנבלט",0,0,0,0
אורה ביטרמן-דויטש,אורה ביטרמן-דויטש,0,1,0,0
אורה שיפר,אורה שיפר,1,0,0,0
אורון מדרסים בע״מ,אורון מדרסים בע״מ,0,0,0,0
אורטופטיסטיות מוסמכות,אורטופטיסטיות מוסמכות,0,1,1,1
אורטל ג'אן,אורטל ג'אן,0,0,1,1
אורי אברהם,אורי אברהם,1,0,0,0
אורי אופנהיים,אורי אופנהיים,0,0,0,0
אורי איל,"ד""ר אורי איל",1,1,1,1
אורי איתן,"ד""ר אורי איתן",0,0,0,0
אורי אלקן,"ד""ר אורי אלקן",0,0,0,1
אורי ארז,אורי ארז,1,1,1,0
אורי ארליך,"ד""ר אורי ארליך",0,0,0,0
אורי בלנקשטיין,אורי בלנקשטיין,1,0,0,0
אורי ברגר,"ד""ר אורי ברגר",0,0,0,0
אורי ברלינר,"ד""ר אורי ברלינר",0,1,1,1
אורי גור,אורי גור,0,1,0,0
אורי גורליק,אורי גורליק,1,0,0,1
אורי גינזבורג,אורי גינזבורג,0,1,0,0
אורי הוכברג,"ד""ר אורי הוכברג",0,0,0,0
אורי וטורי,"ד""ר אורי וטורי",0,0,0,0
אורי חדש,"ד""ר אורי חדש",0,1,1,1
אורי טוקר,אורי טוקר,0,0,1,0
אורי לינדנר,"ד""ר אורי לינדנר",1,0,1,0
אורי מרמור,אורי מרמור,0,1,1,0
אורי ניצן,"ד""ר אורי ניצן",0,0,0,0
אורי פולק,אורי פולק,1,0,0,0
אורי פלג,"ד""ר אורי פלג",1,1,0,1
אורי פרנקל,אורי פרנקל,1,0,0,0
אורי פרקש,"ד""ר אורי פרקש",1,0,1,1
אורי קינן,"ד""ר אורי קינן",1,0,0,0
אורי שולמן,"ד""ר אורי שולמן",0,0,0,0
אורי שטראוס,אורי שטראוס,0,1,0,0
אורי שייר,"ד""ר אורי שייר",0,1,1,0
אוריאל אבידן,"ד""ר אוריאל אבידן",0,0,0,0
אוריאל גיבנבר,"ד""ר אוריאל גיבנבר",0,0,0,0
אוריה מורן,אוריה מורן,0,0,0,0
אורית בוקובזה,אורית בוקובזה,1,0,0,0
אורית ביין,אורית ביין,1,1,0,0
אורית גולן,"ד""ר אורית גולן",0,0,0,0
אורית סמואל,"ד""ר אורית סמואל",0,0,0,0
אורית קרני רחקוביץ',"ד""ר אורית קרני רחקוביץ'",0,0,0,0
אורית שכטר,"ד""ר אורית שכטר",0,1,0,0
אורית שקרצי-עמר,"ד""ר אורית שקרצי-עמר",0,0,0,0
אורלי אלדר פרידמן,"ד""ר אורלי אלדר פרידמן",1,1,1,0
אורלי ליאור,"ד""ר אורלי ליאור",0,0,0,0
אורלי פדן,אורלי פדן,1,0,0,0
אורלי פוזאילוב,"ד""ר אורלי פוזאילוב",0,0,0,0
אורלי פלוצ'ק,אורלי פלוצ'ק,0,1,0,0
אורלי פרט,אורלי פרט,0,1,1,1
אורלי שפירא,"ד""ר אורלי שפירא",0,0,0,0
אורן אלדר,"ד""ר אורן אלדר",0,0,0,0
אורן בן לולו,"ד""ר אורן בן לולו",1,1,1,1
אורן בנימיני,"ד""ר אורן בנימיני",0,0,0,0
אורן גולדן,"ד""ר אורן גולדן",0,0,0,0
אורן גולדשטיין,"ד""ר אורן גולדשטיין",1,0,0,0
אורן גולן,אורן גולן,0,1,0,0
אורן גל,"ד""ר אורן גל",0,0,0,0
אורן ויסמן,"ד""ר אורן ויסמן",0,0,0,0
אורן זלוטניק,"ד""ר אורן זלוטניק",0,0,1,0
אורן כץ,"ד""ר אורן כץ",0,1,0,0
אורן מונבז,"ד""ר אורן מונבז",0,0,0,0
אורן מן,אורן מן,1,0,0,0
אורן נוגזר,אורן נוגזר,0,1,0,0
אורן עובדיה,"ד""ר אורן עובדיה",0,0,1,0
אורן פרדמן,"ד""ר אורן פרדמן",0,0,0,0
אורן צביאלי,"ד""ר אורן צביאלי",1,0,1,0
אורן קאופמן,אורן קאופמן,0,1,0,0
אורן שכטר,"ד""ר אורן שכטר",0,0,0,0
אורן שריג,אורן שריג,0,0,0,0
אורן תבור,אורן תבור,0,1,1,0
אורנה אפשטיין,"ד""ר אורנה אפשטיין",0,0,0,1
אורנה כץ קדוש,"ד""ר אורנה כץ קדוש",0,0,0,0
אורנה לוין-דיקשטיין,אורנה לוין-דיקשטיין,1,0,0,0
אורנה לוינסון-תבור,"ד""ר אורנה לוינסון-תבור",0,0,1,0
אורנה לנדאו דה שליט,"ד""ר אורנה לנדאו דה שליט",0,0,0,0
אורנה מירמוביץ,"ד""ר אורנה מירמוביץ",0,0,0,0
אורנה שמאי,אורנה שמאי,1,0,0,0
אורנלה אפלשטיין,אורנלה אפלשטיין,0,0,0,0
אושר כהן,"ד""ר אושר כהן",1,0,0,1
אושרי בראל,"ד""ר אושרי בראל",0,1,0,0
אושרי וסרצוג,"ד""ר אושרי וסרצוג",0,1,0,0
אושרית ברט שיינין,"ד""ר אושרית ברט שיינין",0,0,0,0
אושרית חרש-חיגר,אושרית חרש-חיגר,0,0,0,0
אושרת קסטל,"ד""ר אושרת קסטל",0,0,0,0
אושרת שושן,אושרת שושן,0,0,0,1
אחיה אמיר,"ד""ר אחיה אמיר",0,0,0,1
אחיהוד בנדט,"ד""ר אחיהוד בנדט",0,0,0,0
אחמד אבו אליונס,"ד""ר אחמד אבו אליונס",0,0,0,0
אחמד אסדי,"ד""ר אחמד אסדי",0,0,0,1
אחמד ג'מהור,"ד""ר אחמד ג'מהור",1,1,1,1
אחמד חג' דאוד,אחמד חג' דאוד,1,0,0,0
אחמד סנונו,אחמד סנונו,0,0,0,1
אחמד ספדי,"ד""ר אחמד ספדי",0,0,1,0
אחמד עתאמנה,אחמד עתאמנה,1,0,0,0
אחמד שהואן,"ד""ר אחמד שהואן",0,0,0,0
אחמט נמזוב,"ד""ר אחמט נמזוב",0,0,0,0
איאד אבו חוסין,"ד""ר איאד אבו חוסין",0,0,0,0
איאד סעדי,איאד סעדי,1,0,0,0
איאס קאסם,איאס קאסם,1,0,0,0
איברהים בסול,"ד""ר איברהים בסול",0,0,0,0
איגור גרמן,איגור גרמן,1,0,0,0
איגור גרש,"ד""ר איגור גרש",1,1,1,1
איגור דובקין,"ד""ר איגור דובקין",0,0,0,0
איגור טפליצקי,איגור טפליצקי,1,1,0,0
איגור יגוב,"ד""ר איגור יגוב",1,1,0,0
איגור לוזן,איגור לוזן,0,1,0,0
איגור מינצר,איגור מינצר,0,1,0,0
איגור מנביץ',"ד""ר איגור מנביץ'",1,1,1,0
איגור נימרובסקי,"ד""ר איגור נימרובסקי",0,0,0,0
איגור קזנסקי,"ד""ר איגור קזנסקי",0,1,0,1
איגור קלמן,"ד""ר איגור קלמן",0,0,0,0
איגור רובנוביץ,איגור רובנוביץ,1,0,0,0
איגור רומנובסקי,איגור רומנובסקי,1,0,1,0
איגור רזניק,איגור רזניק,0,0,0,1
אידה ליגרמן,אידה ליגרמן,1,0,0,0
איה שילון הדס,איה שילון הדס,0,0,0,0
איהאב סיאם,"ד""ר איהאב סיאם",0,0,0,1
איהם מסארוה,"ד""ר איהם מסארוה",0,0,0,0
איזבלה יפרמנקו-יוסים,"ד""ר איזבלה יפרמנקו-יוסים",0,0,0,0
איזק דאיזדה,איזק דאיזדה,0,1,1,0
אייבק שריפוב,אייבק שריפוב,0,0,1,1
אייל אטלני,אייל אטלני,0,0,0,0
אייל אקרמן,"ד""ר אייל אקרמן",0,0,0,0
אייל גנסין,"ד""ר אייל גנסין",0,1,0,0
אייל הלר,"ד""ר אייל הלר",0,0,0,0
אייל הנדלר,"ד""ר אייל הנדלר",0,1,0,0
אייל ווסוקי,אייל ווסוקי,0,1,0,0
אייל זיפמן,"ד""ר אייל זיפמן",0,0,0,0
אייל חסידים,"ד""ר אייל חסידים",0,1,1,0
אייל יחזקאלי,אייל יחזקאלי,1,0,0,0
אייל כהן,"ד""ר אייל כהן",0,0,1,0
אייל מלכה,"ד""ר אייל מלכה",0,0,0,0
אייל מעוז הלוי,"ד""ר אייל מעוז הלוי",0,0,0,0
אייל מרכדו,"ד""ר אייל מרכדו",0,0,0,0
אייל עמר,אייל עמר,0,0,0,1
אייל פרץ,אייל פרץ,0,1,0,0
אייל רוזנטל,"ד""ר אייל רוזנטל",0,0,0,0
אייל רום,"ד""ר אייל רום",0,1,0,0
אייל ריבלין,אייל ריבלין,0,1,0,0
אייל רמו,"ד""ר אייל רמו",0,1,0,0
אייל שפירא,"ד""ר אייל שפירא",0,0,0,0
איילת אולך,"ד""ר איילת אולך",0,0,0,0
איילת דנגוט,"ד""ר איילת דנגוט",0,0,0,0
איילת מדברי,"ד""ר איילת מדברי",0,1,0,0
איילת רשפון,איילת רשפון,0,0,0,1
איילת שי,"ד""ר איילת שי",0,0,0,0
איימן שיבאן,איימן שיבאן,0,0,0,0
איל ביז'אוי,"ד""ר איל ביז'אוי",0,0,0,0
איל בן בסט,"ד""ר איל בן בסט",0,0,0,0
איל בנין,איל בנין,0,1,0,0
איל ברבלק,"ד""ר איל ברבלק",0,1,1,1
איל זוהב זגדנסקי,"ד""ר איל זוהב זגדנסקי",0,0,0,0
איל יעקבי,"ד""ר איל יעקבי",0,1,1,0
איל מילך,איל מילך,0,1,1,0
איל קליינהנדלר,"ד""ר איל קליינהנדלר",0,0,0,0
איל רוסו,"ד""ר איל רוסו",0,0,0,1
איל רסקין,איל רסקין,0,0,0,0
אילה אולמר,אילה אולמר,1,0,0,0
אילה שפירר וייל,"ד""ר אילה שפירר וייל",0,0,0,0
אילון להט,"ד""ר אילון להט",0,0,0,0
אילי ליוס,"ד""ר אילי ליוס",0,0,0,0
אילי קייס,אילי קייס,0,0,0,0
איליה אטקינד,איליה אטקינד,0,0,1,0
איליה אלפונד,איליה אלפונד,0,1,0,0
איליה אפשטיין,איליה אפשטיין,1,0,0,1
איליה גרושקו,איליה גרושקו,0,1,1,1
איליה טרחטנברוייט,"ד""ר איליה טרחטנברוייט",0,0,0,0
איליה ליטובצ'יק,"ד""ר איליה ליטובצ'יק",0,0,0,0
איליה ליטובציק,איליה ליטובציק,0,0,0,0
איליה מושייב,"ד""ר איליה מושייב",0,0,0,0
איליה מייליכוב,איליה מייליכוב,0,1,1,0
איליה מסלקוב,"ד""ר איליה מסלקוב",0,0,0,0
איליה ניקוליבסקי,איליה ניקוליבסקי,1,0,0,0
איליה פיבן,איליה פיבן,0,0,0,0
איליה פרוסו,"ד""ר איליה פרוסו",1,1,1,0
איליה קצפ,איליה קצפ,1,0,0,0
אילן אופיר,אילן אופיר,1,0,0,0
אילן אורבך,אילן אורבך,0,1,0,0
אילן אליה ויינר,"ד""ר אילן אליה ויינר",0,0,0,0
אילן בלאו,"ד""ר אילן בלאו",0,0,0,0
אילן בן יצחק,אילן בן יצחק,1,1,1,1
אילן בן-יצחק,אילן בן-יצחק,0,1,0,0
אילן גיאליצ'ינסקי,אילן גיאליצ'ינסקי,0,1,1,0
אילן גרל,אילן גרל,1,0,0,0
אילן דולב,אילן דולב,0,1,1,0
אילן הוכמן,אילן הוכמן,0,0,0,0
אילן וולקוב,"ד""ר אילן וולקוב",0,0,0,0
אילן וסרמן,"ד""ר אילן וסרמן",0,1,0,0
אילן זהבי,"ד""ר אילן זהבי",1,0,0,1
אילן זיון,אילן זיון,0,1,0,0
אילן חי,אילן חי,0,0,0,1
אילן כהן,אילן כהן,1,1,1,1
אילן כץ,אילן כץ,0,1,1,0
אילן מדר,אילן מדר,0,0,0,0
אילן פלדמן,"ד""ר אילן פלדמן",0,1,1,1
אילן פריאל,"ד""ר אילן פריאל",0,0,0,0
אילן פרידמן,אילן פרידמן,0,1,0,0
אילן קיציס,אילן קיציס,0,0,0,1
אילן קליין,"ד""ר אילן קליין",1,1,0,0
אילן קנט,"ד""ר אילן קנט",0,0,0,0
אילנה איצקוביץ,אילנה איצקוביץ,1,0,0,0
אילנה בונקין,אילנה בונקין,1,0,0,0
אילנה האס,"ד""ר אילנה האס",1,1,0,0
אילנית ברנשטיין,אילנית ברנשטיין,0,1,0,0
אילת לוי שחר,אילת לוי שחר,0,1,0,0
אילת פריאל,"ד""ר אילת פריאל",0,1,0,0
אימן אלמגרבי,אימן אלמגרבי,0,0,0,0
אימן חאג' יחיא,אימן חאג' יחיא,0,0,0,1
אימפקט קליניק,אימפקט קליניק,1,0,0,0
אינאס צפורי,"ד""ר אינאס צפורי",0,0,0,0
אינגה בינסון,אינגה בינסון,1,0,0,0
אינגה מלקין,אינגה מלקין,0,0,1,0
אינה בלייכר,"ד""ר אינה בלייכר",0,0,0,0
אינה גלזר,אינה גלזר,1,0,0,0
אינה גרבלוק,אינה גרבלוק,1,0,0,1
אינה המר לוין,"ד""ר אינה המר לוין",0,0,0,0
אינה טרשנסקי,אינה טרשנסקי,0,1,0,0
אינה לוין,"ד""ר אינה לוין",0,0,0,0
אינה סדצקי,אינה סדצקי,0,0,0,0
אינה סלבוטסקי,"ד""ר אינה סלבוטסקי",0,1,0,0
אינה קומיסרציק,אינה קומיסרציק,1,0,0,0
אינסה טיליס,אינסה טיליס,0,0,0,1
איסלם זחאלקה,איסלם זחאלקה,1,0,0,0
איציק לוי,איציק לוי,0,1,1,1
אירה פלוטניק,"ד""ר אירה פלוטניק",0,0,0,0
אירינה טלסניק,אירינה טלסניק,1,0,0,0
אירינה לביטוב,אירינה לביטוב,0,1,0,0
אירינה מצוב,אירינה מצוב,0,0,0,1
